date,reservoir,data_type,inflow
1999-03-26,ECH,AdaTrip,191.41351318359375
1999-03-26,ECH,GCN_LSTM,184.2542724609375
1999-03-26,ECH,Ground_Truth,361.0
1999-03-26,ECR,AdaTrip,102.23551177978516
1999-03-26,ECR,GCN_LSTM,138.0863800048828
1999-03-26,ECR,Ground_Truth,123.0
1999-03-26,LCR,AdaTrip,111.12491607666016
1999-03-26,LCR,GCN_LSTM,107.36153411865234
1999-03-26,LCR,Ground_Truth,30.0
1999-03-27,ECH,AdaTrip,170.45631408691406
1999-03-27,ECH,GCN_LSTM,183.72271728515625
1999-03-27,ECH,Ground_Truth,350.0
1999-03-27,ECR,AdaTrip,87.65055847167969
1999-03-27,ECR,GCN_LSTM,137.28652954101562
1999-03-27,ECR,Ground_Truth,123.0
1999-03-27,LCR,AdaTrip,92.46881103515625
1999-03-27,LCR,GCN_LSTM,117.01032257080078
1999-03-27,LCR,Ground_Truth,20.0
1999-03-28,ECH,AdaTrip,168.00692749023438
1999-03-28,ECH,GCN_LSTM,175.9748077392578
1999-03-28,ECH,Ground_Truth,305.0
1999-03-28,ECR,AdaTrip,82.31863403320312
1999-03-28,ECR,GCN_LSTM,134.77987670898438
1999-03-28,ECR,Ground_Truth,96.0
1999-03-28,LCR,AdaTrip,87.22274017333984
1999-03-28,LCR,GCN_LSTM,116.39143371582031
1999-03-28,LCR,Ground_Truth,12.0
1999-03-29,ECH,AdaTrip,170.43612670898438
1999-03-29,ECH,GCN_LSTM,182.95941162109375
1999-03-29,ECH,Ground_Truth,243.0
1999-03-29,ECR,AdaTrip,83.89260864257812
1999-03-29,ECR,GCN_LSTM,138.94557189941406
1999-03-29,ECR,Ground_Truth,96.0
1999-03-29,LCR,AdaTrip,85.60442352294922
1999-03-29,LCR,GCN_LSTM,123.07271575927734
1999-03-29,LCR,Ground_Truth,8.0
1999-03-30,ECH,AdaTrip,178.56829833984375
1999-03-30,ECH,GCN_LSTM,173.84877014160156
1999-03-30,ECH,Ground_Truth,241.0
1999-03-30,ECR,AdaTrip,87.01683044433594
1999-03-30,ECR,GCN_LSTM,131.8029022216797
1999-03-30,ECR,Ground_Truth,111.0
1999-03-30,LCR,AdaTrip,78.81260681152344
1999-03-30,LCR,GCN_LSTM,116.86213684082031
